date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:36	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:49%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-creme-power-styling-wax-02-2239.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-creme-power-styling-wax-02-2239.jpg	(from https://www.beardo.in/)
12:36:37	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:49%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beard-softener-image-04-1736.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beard-softener-image-04-1736.jpg	(from https://www.beardo.in/)
12:36:38	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:51%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-how-to-use-1757.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-how-to-use-1757.jpg	(from https://www.beardo.in/)
12:36:38	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:51%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-de-tan-caffeine-face-scrub-05-1774.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-de-tan-caffeine-face-scrub-05-1774.jpg	(from https://www.beardo.in/)
12:36:39	61680/61680	---M--	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202019%2009:28:53%20GMT	https://www.beardo.in/skin/beardo-lip-lightner-for-men	/home/dhawal/websites/my%20new%20project/www.beardo.in/skin/beardo-lip-lightner-for-men.html	(from https://www.beardo.in/)
12:36:39	0/-1	---M--	302	error ('')			https://www.beardo.in/checkout/address	/home/dhawal/websites/my%20new%20project/www.beardo.in/checkout/address.68f.delayed	(from https://www.beardo.in/skin/beardo-lip-lightner-for-men)
12:36:39	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:53%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-1024x1024-1808.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-1024x1024-1808.jpg	(from https://www.beardo.in/)
12:36:40	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:54%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-2-1791.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-2-1791.jpg	(from https://www.beardo.in/)
12:36:41	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:54%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-how-to-use-1803.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-how-to-use-1803.jpg	(from https://www.beardo.in/)
12:36:41	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:53%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-x700-beardo-shampoo-2018-778-1749.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-x700-beardo-shampoo-2018-778-1749.jpg	(from https://www.beardo.in/)
12:36:43	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:28:55%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-x700-beardo-growth-oil-100ml-1702-1755.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-x700-beardo-growth-oil-100ml-1702-1755.jpg	(from https://www.beardo.in/)
12:36:58	357/357	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:29:10%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-black-magic-temporary-hair-color-3-752.png	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-black-magic-temporary-hair-color-3-752.png	(from https://www.beardo.in/)
12:37:10	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:29:13%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-x700-beardo-hair-fall-control-shampoo-for-men-product-images-3-769-1751.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-x700-beardo-hair-fall-control-shampoo-for-men-product-images-3-769-1751.jpg	(from https://www.beardo.in/)
12:37:10	357/357	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:29:13%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-black-magic-temporary-hair-color-2-751.png	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-black-magic-temporary-hair-color-2-751.png	(from https://www.beardo.in/)
12:37:19	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:29:32%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-how-to-use-2342.jpg	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-how-to-use-2342.jpg	(from https://www.beardo.in/)
12:37:21	357/357	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Tue,%2019%20Nov%202019%2009:29:33%20GMT	https://beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-black-magic-temporary-hair-color-4-753.png	/home/dhawal/websites/my%20new%20project/beardoc.s3.ap-south-1.amazonaws.com/uploads/x700-beardo-black-magic-temporary-hair-color-4-753.png	(from https://www.beardo.in/)
